id,camp,grade,gpa,gre
1013,1,79.4,3.88,154
1014,1,69.3,3.4,147
1015,0,67.5,3.12,157
1016,1,63.4,3.89,149
1017,0,74.1,3.82,162
1018,0,68.5,3.55,156
1019,0,53.9,3.04,151
1020,1,61.6,3.15,147
1021,1,58.1,2.69,133
1022,0,52.4,3.42,146
1023,0,67.8,3.12,156
1024,0,57.5,2.42,156
1025,0,55.4,3.29,150
1026,0,52.4,3.23,138
1027,1,77.3,2.8,156
1028,0,57.6,3.94,153
1029,0,48.4,2.73,145
1030,0,68.6,3.79,145
1031,1,76,3.7,150
1032,0,75.5,3.57,153
1033,0,67.4,3.81,167
1034,1,72.1,2.98,151
1035,0,49.3,3.18,150
1036,0,78,3,157
1037,0,50.9,3.42,147
1038,0,59.6,3.57,149
1039,1,77.9,3.8,148
1040,1,80.5,3.76,149
1041,0,84.3,3.8,157
1042,1,66.7,3.21,152
1043,0,71,3.88,163
1044,0,79.3,3.73,158
1045,1,78.5,3.56,154
1046,1,67.5,3.05,152
1047,1,88,3.79,148
1048,1,69.7,3.53,162
1049,0,63.8,3.32,151
1050,1,91.6,3.96,163
1051,0,69.5,4,152
1052,1,80,3.94,159
1053,1,66.5,2.19,153
1054,1,80.6,3.05,146
1055,1,91.5,3.97,154
1056,0,51.2,3.13,154
1057,0,64.5,3.7,158
1058,0,56.6,3.59,146
1059,1,50.7,3.14,157
1060,1,77.6,3.47,142
1061,1,80.1,3.67,153
1062,0,78.7,3.41,155
1063,0,65.7,3.65,157
1064,1,73.5,2.83,152
1065,1,87.9,3.82,162
1066,0,66.4,3.6,152
1067,0,81.1,3.82,168
1068,0,70.1,3.29,154
1069,0,81.6,3.43,159
1070,0,66,3.56,162
1071,1,82.2,3.45,149
1072,0,78,3.92,168
1073,0,67.7,3.12,148
1074,1,71.2,3.6,157
1075,1,90.3,3.79,157
1076,0,53,2.88,145
1077,0,64,3.61,150
1078,0,62.7,3.2,149
1079,0,62.4,3.85,151
1080,1,76.8,2.64,150
1081,0,62,3.96,159
1082,1,83.5,3.61,152
1083,1,58.1,3.22,149
1084,0,75.2,3.32,144
1085,1,59.7,2.86,142
1086,0,67.7,3.69,149
1087,1,77,2.68,143
1088,0,82.5,3.43,159
1089,1,76.3,3.73,158
1090,1,68.4,3.54,147
1091,0,79.4,3.93,161
1092,1,74.7,3.53,150
1093,0,63.8,3.07,149
1094,0,43.7,2.69,147
1095,1,73.9,2.96,152
1096,1,80.5,3.05,144
1097,1,58.6,2.74,152
1098,1,79.1,3.2,151
1099,1,73.1,3.54,154
1100,0,62.6,3.78,157
1101,0,64.9,3.58,160
1102,0,55.6,2.92,153
1103,1,59.5,3.65,149
1104,1,79.6,3.41,146
1105,1,53.1,3.17,143
1106,0,61.4,3.15,144
1107,1,89.1,3.62,153
1108,1,90.4,3.76,150
1109,1,83.2,3.68,160
1110,0,60.7,3.72,152
1111,1,68.6,3.26,136
1112,0,62.7,3.55,165
1113,0,80.6,3.83,163
1114,1,78.2,2.4,156
1115,0,63.8,3.45,161
1116,1,76.6,3.52,138
1117,0,72.4,3.38,149
1118,0,71.5,3.53,157
1119,1,73.3,2.5,149
1120,0,60.4,3.67,154
1121,1,70.9,3.5,152
1122,1,66.1,3.25,138
1123,1,51.8,2.07,139
1124,1,73.6,3.29,150
1125,1,73.7,3.56,153
1126,1,66.8,3.46,144
1127,1,71,3.2,150
1128,1,76.2,3.66,155
1129,1,63.8,3.04,145
1130,1,79,3.85,153
1131,1,69.3,3.91,154
1132,0,71,3.98,161
1133,1,82.6,3.9,144
1134,0,73.7,3.32,159
1135,1,82.6,3.49,153
1136,0,75.6,3.81,162
1137,0,77.7,3.67,162
1138,1,72.1,3.19,150
1139,1,85.6,3.51,153
1140,1,82.4,3.38,144
1141,0,87.7,3.57,164
1142,1,87.3,3.43,161
1143,0,52,3.57,152
1144,1,82.8,3.53,154
1145,1,61.9,3.16,149
1146,1,83.3,3.29,143
1147,0,65,2.72,157
1148,1,76.2,3.7,144
1149,0,75.1,3.92,163
1150,1,70,2.83,140
1151,1,82.9,3.7,149
1152,0,67.2,3.66,150
1153,1,85.2,3.6,146
1154,0,63.4,3.54,154
1155,0,75.3,3.67,154
1156,0,71.8,3.73,159
1157,1,79.1,3.74,154
1158,1,65.1,3.23,158
1159,0,68.4,3.47,161
1160,0,63.9,3.25,146
1161,0,63.2,3.69,168
1162,1,77.7,3.7,148
1163,1,85.8,3.86,160
1164,1,66.5,3.04,147
1165,0,67.6,3.43,140
1166,0,74.5,3.26,157
1167,0,71.4,3.32,153
1168,1,67.9,3.81,151
1169,0,63.8,3.2,149
1170,1,79.4,3.71,154
1171,0,67.9,3.54,152
1172,1,68.8,2.7,143
1173,1,57.5,3.33,145
1174,0,73.4,3.36,152
1175,0,80.9,3.83,148
1176,0,45.8,3.04,155
1177,1,49.2,2.7,142
1178,0,70.4,3.85,147
1179,1,77,2.73,150
1180,1,75,3.92,151
1181,1,75,3.67,160
1182,0,68.7,3.32,145
1183,0,43.6,3,152
1184,0,59.5,3.44,159
1185,1,68.4,3.83,142
1186,1,68.7,2.96,142
1187,1,77.4,3.44,152
1188,1,54.3,3.49,147
1189,0,73.7,3.13,154
1190,0,58,2.83,150
1191,1,58.4,2.81,143
1192,0,76.8,3.43,154
1193,0,63.7,2.5,155
1194,0,49.8,2.72,150
1195,1,67.4,3.41,155
1196,1,68.6,3.56,153
1197,0,66.5,3.5,160
1198,1,80,3.6,159
1199,1,84.1,3.84,152
1200,1,91.3,3.9,160
1201,1,66.1,2.49,139
1202,0,60.8,3.52,156
1203,1,78.8,3.81,145
1204,0,72.3,3.41,149
1205,0,66.6,3.61,154
1206,0,61.4,3.95,157
1207,0,62.8,3.43,148
1208,0,77.1,3.73,152
1209,0,54,2.7,148
1210,1,69,3.41,157
1211,1,71.6,3.78,149
1212,1,70.1,3.58,144
1213,1,74.1,2.81,143
1214,1,62.8,2.56,144
1215,1,70.3,3.47,160
1216,0,72,3.84,159
1217,0,55.8,3.15,146
1218,1,87,3.69,158
1219,1,88,3.79,142
1220,0,86.6,3.99,161
1221,1,77.5,3.79,153
1222,0,68.5,3.62,158
1223,1,77,2.72,154
1224,1,86,3.25,151
1225,0,77.2,3.93,148
1226,1,95.2,3.73,154
1227,0,57.8,3.05,156
1228,1,72.5,3.66,146
1229,1,64.3,3.45,140
1230,0,57.8,3.48,147
1231,1,81.2,3.31,141
1232,0,64.7,3.37,158
1233,0,60.7,3.06,151
1234,1,74.7,3.58,145
1235,0,68.9,3.2,147
1236,0,67.3,3.7,149
1237,1,74.3,3.93,151
1238,1,66.5,3.29,148
1239,0,64.2,3.35,144
1240,0,76.3,3.47,154
1241,1,53.2,2.5,140
1242,0,82.6,3.58,164
1243,0,55,3.52,144
1244,1,56.6,3.37,149
1245,0,47.5,2.99,151
1246,0,68.7,3.27,157
1247,0,64.7,3.57,153
1248,0,56.1,3.2,146
1249,0,53.5,3.17,155
1250,0,77.4,3.58,151
1251,1,63.6,3.36,159
1252,1,63.9,3.25,142
1253,0,84.6,3.7,152
1254,1,84.6,3.61,150
1255,1,87.5,2.96,158
1256,1,56.8,2.81,139
1257,0,65.9,3.8,160
1258,0,73.1,3.08,158
1259,1,74.2,3.02,139
1260,0,56.2,3.54,149
1261,1,79.2,3.23,155
1262,0,81.7,3.89,155
1263,1,86.8,3.99,151
1264,0,66.5,2.99,151
1265,0,74.1,3.2,151
1266,0,71.7,3.66,150
1267,0,54.8,2.82,149
1268,0,54.8,3.31,149
1269,0,58.9,3.49,158
1270,0,71.9,3.47,161
1271,0,75.5,3.61,157
1272,0,42.6,3.59,146
1273,0,80.3,3.95,163
1274,1,87.8,3.47,150
1275,0,70.7,3.09,152
1276,1,75.3,3.44,147
1277,1,72.2,3.4,155
1278,1,64.6,3.52,152
1279,0,64.3,3.78,160
1280,0,64.4,2.82,159
1281,0,63.7,3.15,149
1282,0,61.2,3.22,154
1283,0,52.9,3.34,150
1284,1,56.6,3.31,141
1285,1,77.7,3.73,149
1286,0,42.5,2.87,152
1287,1,60.7,3.24,141
1288,0,53.5,3.22,152
1289,1,71.1,3.31,151
1290,0,72.2,3.2,157
1291,1,84,3.88,140
1292,0,82.1,3.62,163
1293,1,56.8,2.79,146
1294,1,78.7,3.97,143
1295,1,74.1,2.55,142
1296,1,84.9,3.39,155
1297,1,77.3,3.88,165
1298,0,67.4,3.69,155
1299,0,75.7,3.8,163
1300,0,72.1,3.8,157
1301,0,55.8,3.28,149
1302,0,44.3,3.37,154
1303,0,51,3.04,149
1304,1,60.6,2.53,143
1305,0,60.5,3.36,153
1306,0,72.3,3.91,147
1307,1,67.3,3.4,145
1308,0,70.9,3.92,148
1309,0,54.1,3.07,157
1310,0,76.8,3.47,156
1311,1,67.8,3.51,148
1312,0,67.7,3.63,153
1313,1,75.2,3.24,148
1314,1,73,3.19,147
1315,1,73.5,3.37,149
1316,0,84.5,3.96,153
1317,0,66.9,3.2,152
1318,1,60.1,3.53,140
1319,0,68.2,3,150
1320,0,70.4,3.12,155
1321,1,83.1,3.19,150
1322,1,78.1,2.84,147
1323,1,53.2,2.5,139
1324,1,89.6,3.88,161
1325,1,77,3.7,157
1326,0,55.7,3.08,142
1327,0,70.6,3.98,157
1328,1,75.4,2.22,140
1329,1,71.4,3.58,161
1330,0,76.3,3.24,163
1331,0,57.6,2.95,156
1332,0,59.7,3.06,159
1333,0,76.8,3.18,159
1334,1,60.8,2.45,145
1335,1,67.5,3.18,135
1336,0,82.8,3.99,150
1337,0,63.9,3.12,155
1338,1,67,3.47,147
1339,0,67.2,3.56,148
1340,0,65.9,3.74,169
1341,1,80.3,3.03,141
1342,0,55.3,3.11,155
1343,0,81.3,3.29,163
1344,0,81.7,3.71,159
1345,0,68,3.45,155
1346,0,47,2.94,151
1347,1,88.2,3.46,154
1348,1,64.5,3.7,144
1349,1,71.9,3.32,152
1350,1,56.1,3.06,136
1351,1,68,3.03,157
1352,1,71.3,3.39,148
1353,0,73.6,3.67,152
1354,1,89.4,3.98,160
1355,1,76.6,2.83,136
1356,0,67.7,3.1,146
1357,1,65.5,2.48,151
1358,0,60.2,3.56,153
1359,0,62.7,3.86,142
1360,1,82.4,3.63,150
1361,0,77.3,3.79,158
1362,0,58.1,3.21,148
1363,0,72.3,3.72,158
1364,0,72.6,3.79,164
1365,0,64.9,3.04,151
1366,1,73.9,3.38,152
1367,0,60.6,2.89,145
1368,0,62.4,3.46,164
1369,1,75.5,3.27,153
1370,1,65.9,3.53,141
1371,0,68.4,3.89,153
1372,0,59.7,2.71,155
1373,1,71.1,2.82,144
1374,0,61.4,3.04,157
1375,0,59.4,3.65,157
1376,0,65.7,3.54,152
1377,0,69.3,2.88,148
1378,0,50.2,3.28,161
1379,1,60.4,2.45,138
1380,0,67.3,3.18,156
1381,0,61.7,3.37,154
1382,0,51.9,3.43,154
1383,0,47.9,3.52,147
1384,0,63.8,3.71,152
1385,0,80.5,3.85,156
1386,0,66.9,3.84,148
1387,0,57.7,2.66,149
1388,0,80,3.87,152
1389,0,69.5,3.04,145
1390,1,88.4,3.48,149
1391,1,63.1,2.54,144
1392,0,48.9,3.61,151
1393,0,55.1,3,153
1394,0,65.2,2.41,146
1395,1,77.6,2.66,145
1396,1,69.3,2.79,147
1397,1,96.5,3.78,162
1398,0,57.9,3.66,146
1399,1,79.3,3.84,147
1400,0,40,3.23,146
1401,1,60.8,3.59,144
1402,1,67.3,3.71,152
1403,0,65.2,3.46,154
1404,1,71.7,2.95,137
1405,1,74,3.95,150
1406,1,80.2,3.41,153
1407,1,71.6,3.44,155
1408,0,74.6,3.35,153
1409,0,53.7,3.37,160
1410,0,77.2,3.47,150
1411,1,53.1,2.51,147
1412,0,59.8,3.51,140
1413,1,63.4,3.62,139
1414,1,64.6,3.02,144
1415,0,67.4,2.62,149
1416,1,57.8,3.32,148
1417,0,54.6,1.94,148
1418,0,76.9,3.85,158
1419,0,68,3.01,161
1420,0,66.9,3.51,163
1421,0,61,3.42,148
1422,1,67.5,2.67,146
1423,1,69.9,3.06,138
1424,1,90.6,3.98,159
1425,1,70.7,2.92,146
1426,1,86.3,3.12,152
1427,0,75.7,3.13,149
1428,0,71.4,3.4,160
1429,0,65.1,3.78,161
1430,0,79.5,3.89,162
1431,1,73.5,3.31,145
1432,0,48.5,2.94,146
1433,0,71.8,3.59,151
1434,0,73.1,3.32,156
1435,1,70.9,3.24,149
1436,1,75.2,3.34,154
1437,1,69.7,3.84,141
1438,0,59.9,3.17,156
1439,0,69.9,3.49,147
1440,0,67.4,3.75,152
1441,0,63.7,3.3,153
1442,1,73.3,2.89,141
1443,0,77.7,3.66,152
1444,1,82.8,3.36,142
1445,0,29.7,2.49,142
1446,0,50.9,3.63,143
1447,0,54.2,3.57,152
1448,0,65.7,2.66,144
1449,1,76.7,3.24,154
1450,0,60.2,3.41,154
1451,1,71.3,3.22,148
1452,0,67.9,3.78,156
1453,0,44.4,2.71,143
1454,0,60.9,3.02,151
1455,0,66.8,3.28,144
1456,1,64.3,3.42,143
1457,0,68.2,2.99,154
1458,1,84.1,3.38,154
1459,0,74.4,3.78,165
1460,0,50.2,3.7,151
1461,1,65.1,3.1,142
1462,1,73.2,2.59,141
1463,1,75.7,3.01,155
1464,1,51.8,3.21,137
1465,1,78.2,3.62,147
1466,0,56.1,3.26,156
1467,0,57.1,3.79,150
1468,1,80.9,3.71,144
1469,1,80.7,3.84,145
1470,0,53.8,2.79,151
1471,0,89.9,3.98,164
1472,0,46.8,3.37,145
1473,0,68.8,3.1,161
1474,1,69.3,2.61,147
1475,1,81.9,3.08,154
1476,0,57.9,3.35,149
1477,0,52.2,2.53,152
1478,0,62.4,3.32,157
1479,0,79.6,3.76,150
1480,1,70.1,2.85,144
1481,0,74.2,3.5,147
1482,0,69.6,2.83,157
1483,0,66.2,3.47,154
1484,0,67.6,3.95,154
1485,1,73,2.41,153
1486,0,62.9,2.92,149
1487,0,74.6,3.97,152
1488,0,76.3,3.03,157
1489,1,62,3.16,142
1490,0,52,3.09,153
1491,1,73.2,3.02,140
1492,1,80.1,3.39,144
1493,1,70.8,3.47,155
1494,1,61.3,3.09,147
1495,1,75.6,3.16,150
1496,1,86.1,3.77,144
1497,1,72.3,3.82,150
1498,1,65.5,3.49,154
1499,1,76.9,3.59,158
1500,1,52.1,3.26,146
1501,1,61.9,3.34,145
1502,0,55.5,3.79,145
1503,0,63.3,3.99,149
1504,1,83,3.48,144
1505,1,71.2,2.62,143
1506,1,62.7,3.2,152
1507,0,73.9,3.8,155
1508,1,88.3,3.6,153
1509,1,70.9,3.92,148
1510,0,83,3.97,161
1511,0,78.7,3.87,158
1512,0,58.8,3.4,144
1513,0,60.2,3.25,143
1514,0,72.8,3.67,159
1515,1,55.1,3.25,139
1516,1,76,3.74,148
1517,0,54.3,3.75,160
1518,1,74.6,3.45,161
1519,0,73.1,3.51,162
1520,1,84.5,3.72,157
1521,1,83.9,2.93,158
1522,1,80.3,3.63,160
1523,0,75.9,3.77,153
1524,1,81.2,3.42,155
1525,0,51.8,2.56,153
1526,0,65.1,3.87,150
1527,1,69.6,3.37,151
1528,1,69.2,3.81,142
1529,1,70.6,2.92,142
1530,1,75.2,3.32,141
1531,0,66.7,3.47,154
1532,0,56,3.23,145
1533,1,69.5,3.25,146
1534,1,68.8,2.92,144
1535,1,77.2,3.56,153
1536,1,73.7,3.74,152
1537,1,62.7,3.41,138
1538,0,56.7,2.69,142
1539,0,48.7,3.3,143
1540,0,71.7,3.71,158
1541,0,72,3.14,153
1542,0,80.5,3.2,159
1543,0,68,2.92,156
1544,1,86.2,3.8,165
1545,1,81.8,3.17,146
1546,0,65.8,3.42,144
1547,0,56.2,3.5,149
1548,1,76.6,3.14,153
1549,1,76.3,3.64,148
1550,0,74.5,3.5,158
1551,1,55.4,2.64,144
1552,1,74,2.58,149
1553,0,69.5,3.8,160
1554,0,61.7,2.34,152
1555,0,67.9,3.31,143
1556,1,68.3,2.67,144
1557,0,73.4,3.65,147
1558,0,69.6,3.76,153
1559,0,66.6,3.02,155
1560,0,53.8,3.82,161
1561,1,78.4,3.59,144
1562,1,75.2,3.56,158
1563,1,75.5,3.3,152
1564,0,71.2,3.32,150
1565,1,67.1,3.22,143
1566,1,74.3,2.82,153
1567,1,78.9,3.54,143
1568,1,71,3.48,139
1569,1,71.7,3.86,153
1570,1,77.1,3.39,143
1571,1,80.3,3.04,151
1572,0,69.8,3.44,159
1573,1,66.4,3.73,154
1574,1,65.5,3.64,155
1575,0,66.2,3.28,155
1576,0,62,3.46,143
1577,0,61.5,3.32,140
1578,0,77.6,3.4,166
1579,1,91.1,3.73,146
1580,0,59.9,3.26,147
1581,1,72.8,2.92,154
1582,1,71.6,3.38,157
1583,1,71.7,3.3,136
1584,0,86.8,3.91,164
1585,0,57.5,3.44,152
1586,1,75.2,3.44,145
1587,1,75.2,3.16,143
1588,1,56.3,2.71,133
1589,1,77.9,3.9,152
1590,1,69.7,2.6,154
1591,0,58.2,3.33,139
1592,0,77.7,3.55,144
1593,0,72,3.6,158
1594,0,70.3,3.92,154
1595,0,76.2,4,157
1596,1,76.4,3.81,150
1597,0,63,3.71,149
1598,0,65.5,3.61,140
1599,1,73.2,3.4,151
1600,0,59,3.51,147
1601,0,72,3.67,148
1602,0,79.8,3.16,156
1603,0,75.4,3.82,151
1604,0,74.8,2.86,153
1605,0,20,2.26,144
1606,0,78.8,3.59,154
1607,0,67.4,3.47,156
1608,0,65.2,3.77,160
1609,1,71.2,3.29,147
1610,1,68.2,3.43,153
1611,1,88.1,3.51,159
1612,1,100,3.85,169
1613,0,51.6,3.59,144
1614,0,50.5,3.42,147
1615,1,73.2,3.38,157
1616,1,65.2,2.82,145
1617,1,89.6,3.81,160
1618,1,89.6,3.72,148
1619,1,65.6,2.98,146
1620,0,78.5,3.41,156
1621,0,65.1,2.89,149
1622,1,63,3.9,159
1623,1,73.5,3.56,142
1624,0,59.3,3.69,152
1625,0,69.7,3.06,156
1626,0,79.1,3.4,161
1627,1,53.1,2.47,148
1628,0,68,3.13,142
1629,0,70.4,3.35,160
1630,0,70.7,2.97,154
1631,0,72.8,3.65,155
1632,1,66,3.54,155
1633,0,53.1,2.82,154
1634,0,59.9,3.64,159
1635,0,71.5,3.97,160
1636,1,64.6,3.39,143
1637,1,76.4,3.98,146
1638,1,67.5,2.31,143
1639,1,57.5,2.87,144
1640,0,68.3,3.41,160
1641,0,58,3.55,163
1642,1,76.4,3.76,150
1643,0,60.8,3.86,156
1644,1,70.9,3.27,138
1645,0,69.5,3.26,146
1646,0,60.8,3.33,142
1647,0,64.6,3.22,147
1648,1,76.7,3.44,153
1649,1,76.8,3.94,151
1650,1,74.2,3.73,156
1651,0,63.7,3.28,158
1652,1,84.9,3.15,153
1653,0,66.8,3.45,149
1654,0,66.3,3.4,154
1655,0,57.7,2.36,142
1656,0,57.4,3.01,145
1657,0,78.7,3.81,164
1658,0,64,3.83,151
1659,0,70.7,3.17,157
1660,0,63.1,3.4,148
1661,0,57,2.95,154
1662,0,57.8,3.66,152
1663,1,65.3,3.24,152
1664,0,58.3,2.94,152
1665,1,90.1,3.7,152
1666,0,73,3.71,163
1667,0,58.2,3.29,149
1668,0,53,3.06,152
1669,0,73.8,2.83,158
1670,1,50.6,3.2,152
1671,1,68.7,2.56,143
1672,1,64,3.69,145
1673,0,48,2.97,156
1674,1,77.5,3.31,153
1675,0,50.2,3.1,140
1676,0,76.9,3.66,153
1677,1,55.4,3.57,152
1678,1,61.8,2.88,137
1679,0,44.8,3.63,146
1680,0,40.8,3.16,141
1681,1,73.4,3.82,143
1682,1,78.5,3.8,150
1683,0,66.5,3.48,145
1684,1,74.5,3.11,157
1685,0,51.2,3.26,145
1686,1,76.3,2.99,142
1687,1,83.5,3.92,153
1688,1,73.9,3.53,141
1689,1,51.2,3.67,151
1690,1,88,3.4,152
1691,0,47.5,3.61,147
1692,1,83.5,3.63,151
1693,1,80,3.62,145
1694,0,65.1,2.81,144
1695,1,66.6,2.9,147
1696,0,56.4,3.01,145
1697,1,72.3,3.45,147
1698,0,77.6,3.44,151
1699,1,55.9,2.67,139
1700,0,41.4,2.98,147
1701,1,74.3,2.63,145
1702,0,61.4,3.76,156
1703,1,87.4,3.28,149
1704,1,75.4,2.58,142
1705,0,65,3.09,142
1706,1,59.2,3,157
1707,0,74.9,3.65,162
1708,1,77.5,3.78,145
1709,1,66.4,2.86,135
1710,0,70.6,3.73,157
1711,0,71.2,3.62,153
1712,1,75.3,3.63,161
1713,0,60.3,3.72,161
1714,0,78.1,3.99,154
1715,1,77.3,3.24,142
1716,1,79.4,3.52,146
1717,1,68.9,2.96,145
1718,1,82.1,3.65,160
1719,1,79.5,2.78,156
1720,0,81,3.61,160
1721,0,62.6,3.99,144
1722,1,50.6,2.32,144
1723,1,71,3.21,151
1724,0,58.8,3.11,148
1725,1,67.1,2.79,156
1726,1,96.2,3.73,146
1727,1,80.9,3.14,156
1728,1,63.3,3.9,158
1729,0,56.7,2.79,149
1730,0,65.1,3.68,145
1731,0,69.3,3.69,158
1732,1,65.4,2.46,149
1733,1,69.9,3.81,154
1734,0,57.5,3.65,149
1735,0,63.6,2.97,161
1736,1,81.2,3.4,152
1737,0,85.5,3.89,154
1738,1,51.7,2.86,144
1739,1,87.3,3.55,152
1740,0,72.9,3.52,149
1741,0,55.5,3.24,157
1742,0,73.9,3.27,153
1743,1,79.2,3.38,136
1744,1,79.2,3.93,145
1745,0,51.7,3.09,149
1746,0,50.4,3.39,145
1747,0,75.3,3.47,161
1748,0,85.9,3.95,164
1749,1,78,3.39,152
1750,1,66.8,3.97,146
1751,0,68.6,3.06,153
1752,1,80.7,3.23,154
1753,1,50.7,2.9,149
1754,1,65,2.95,140
1755,0,87.5,3.8,162
1756,1,79,3.87,159
1757,0,52.4,3.61,150
1758,0,65.5,3.12,151
1759,0,46.6,3.65,155
1760,0,51.1,2.9,158
1761,1,58.9,2.62,130
1762,1,59.7,3.25,138
1763,0,68.6,3.29,155
1764,0,66.6,3.03,153
1765,0,61.6,2.5,141
1766,1,70.1,3.29,150
1767,0,53.4,3.77,140
1768,0,73,3.89,153
1769,1,75.4,3.52,158
1770,1,92.8,3.73,153
1771,1,66.1,3.42,155
1772,1,61.6,2.53,137
1773,0,62.2,3.82,156
1774,0,57.4,3.93,142
1775,1,81.8,3.97,157
1776,1,72.7,3.15,145
1777,1,51.7,3.37,136
1778,1,79.8,3.56,145
1779,0,57.8,3.07,164
1780,1,52.1,2.84,147
1781,0,65,3.57,152
1782,0,57.3,3.1,146
1783,1,64.9,3.54,146
1784,0,56.4,3.58,151
1785,0,66.4,3.48,148
1786,1,44.3,1.95,141
1787,1,56.6,2.25,148
1788,0,85.2,3.86,164
1789,0,65.7,3.05,152
1790,0,53.6,3.55,150
1791,0,72.6,3.9,156
1792,0,55.4,3.42,159
1793,1,54,3.14,150
1794,0,64.1,3.39,152
1795,1,65.9,2.7,133
1796,1,61.7,2.57,139
1797,0,59.4,3.53,157
1798,0,46,3.41,142
1799,1,72.9,2.76,146
1800,0,65.1,2.5,144
1801,0,69.4,3.63,156
1802,1,85.8,3.59,155
1803,0,61.5,3.44,151
1804,0,55.4,3.25,159
1805,0,57,2.8,147
1806,1,63.7,3.4,155
1807,0,62.2,2.98,155
1808,0,82.3,3.6,157
1809,0,74.3,3.85,154
1810,0,62.1,3.35,146
1811,0,60,2.79,152
1812,0,56.5,2.73,153
1813,1,74.8,3.54,148
1814,1,73,3.58,152
1815,1,82.3,3.84,145
1816,1,53.5,2.77,144
1817,0,58.2,3.36,149
1818,0,69.9,3.68,151
1819,0,50.5,2.67,142
1820,1,77.7,3.59,152
1821,0,58.8,2.74,143
1822,1,73.7,3.51,152
1823,0,74.6,3.6,153
1824,0,67.9,3.01,158
1825,0,66.7,3.76,146
1826,0,77.7,3.6,159
1827,1,60.3,2.85,142
1828,0,80.3,3.67,157
1829,0,60.9,3.26,145
1830,1,76.9,3.42,148
1831,0,64.4,3.42,152
1832,1,60.3,2.94,146
1833,1,75.7,3.97,148
1834,0,56.7,3.04,157
1835,1,82.9,3.74,156
1836,1,75,2.6,147
1837,1,77.9,3.32,154
1838,1,81.8,3.4,144
1839,1,54.2,3.17,144
1840,0,71.8,3.41,165
1841,0,70.9,3.79,158
1842,0,65.7,3.1,141
1843,1,75.3,3.39,150
1844,1,70.1,3.45,145
1845,0,64.4,3.31,156
1846,1,82.9,3.43,153
1847,1,66.5,3.35,149
1848,0,81.1,3.64,161
1849,1,77,3.77,161
1850,0,69.6,3.21,151
1851,0,78,3.62,149
1852,0,69.5,3.64,158
1853,1,85.8,3.7,146
1854,0,79.6,3.59,157
1855,1,59.9,2.52,138
1856,0,76.7,3.77,155
1857,1,77,3.76,142
1858,1,70.6,3.14,148
1859,0,63.7,3.53,161
1860,0,71.7,3.04,155
1861,1,79.4,3.13,145
1862,1,62.6,2.39,154
1863,0,71,3.23,153
1864,1,76.6,3.8,149
1865,1,69.6,3.36,146
1866,1,91.1,3.62,153
1867,0,64.5,3.58,160
1868,1,82,3.56,146
1869,0,55.6,3.67,153
1870,1,77.2,3.38,145
1871,0,68.1,3.55,154
1872,0,67,3.86,146
1873,0,75,3.74,147
1874,0,42.6,2.68,134
1875,1,75.1,3.13,147
1876,0,78.2,3.97,157
1877,1,74,3.44,138
1878,0,71.3,3.54,159
1879,0,73.3,3.76,157
1880,1,62.1,3.05,148
1881,0,80.3,3.47,153
1882,0,68.1,3.15,153
1883,1,82.3,3.84,151
1884,0,45,3.67,151
1885,0,45.4,2.79,147
1886,0,72.9,3.34,155
1887,0,76.3,3.2,151
1888,1,58.5,3.17,147
1889,0,62.6,3.5,141
1890,1,76.3,2.59,154
1891,0,65,3.74,150
1892,1,71.2,2.53,148
1893,1,77.3,3.04,148
1894,0,63.8,3.69,159
1895,1,68.6,2.35,139
1896,0,54.4,3.26,152
1897,0,70,3.49,153
1898,0,71.5,3.25,149
1899,0,74.2,3.52,158
1900,0,68.5,3.67,160
1901,0,71,3.84,157
1902,0,81.6,3.69,152
1903,1,81.3,3.91,149
1904,1,84.2,3.69,137
1905,0,71.4,3.28,156
1906,0,76.1,3.55,158
1907,1,71.3,2.96,159
1908,1,76.9,3.75,149
1909,0,71.8,3.71,151
1910,1,56.9,2.34,144
1911,1,64.4,2.87,143
1912,1,64.4,3.56,144
1913,1,62.3,3.04,144
1914,0,60.6,3.29,147
1915,1,83.6,3.84,157
1916,0,79.4,3.48,158
1917,0,74.2,3.11,158
1918,1,69.6,3.35,146
1919,0,52.9,3.27,144
1920,0,74.4,3.81,155
1921,0,76.2,3.95,159
1922,0,48.4,3.02,143
1923,1,64.9,2.73,141
1924,0,41.8,3.13,148
1925,0,62.5,3.18,153
1926,1,58.1,3.61,142
1927,0,61.4,2.68,145
1928,0,85.1,3.8,162
1929,1,60.9,3.44,139
1930,1,65.6,2.64,141
1931,0,62.9,3.21,155
1932,0,39.2,3.22,147
1933,0,72.8,3.65,155
1934,0,64.5,3.31,143
1935,1,82,3.43,145
1936,1,63.9,3.84,152
1937,1,74.2,3.91,141
1938,0,56.8,2.89,151
1939,0,78.3,3.69,164
1940,0,63,3.63,143
1941,0,50.6,2.64,157
1942,0,67.2,3.39,146
1943,0,66,3.22,144
1944,1,69.5,2.92,142
1945,0,72,3.62,153
1946,1,51.7,2.3,141
1947,0,75.8,3.96,154
1948,0,74.4,3.62,153
1949,1,70.4,3.58,146
1950,1,82.8,3.44,155
1951,1,56.7,3.12,143
1952,1,76,3.6,152
1953,1,89,3.88,152
1954,0,67,2.85,153
1955,0,65.9,3.37,157
1956,1,75.5,3.33,146
1957,0,82.7,3.65,162
1958,0,59.2,3.07,162
1959,1,82.2,3.98,158
